home,Host,Home_Goals,Host_Golas,FirstPart,SecondPart,ThirthPart,Prodlouzeni,Najezdy,Date,Home_P1,Home_P2,Home_P3,Host_P1,Host_P2,Host_P3
New York Rangers,Philadelphia Flyers,3,4,0|2,0|0,3|1,0|0,0|1,04.04. 01:00Po náj.,0,0,3,2,0,1
Vancouver Canucks,Vegas Golden Knights,2,3,0|2,0|0,2|0,0|1,,04.04. 01:00Po prodl.,0,0,2,2,0,0
Washington Capitals,Minnesota Wild,1,5,0|2,0|1,1|2,,,04.04. 01:00,0,0,1,2,1,2
New Jersey Devils,New York Islanders,3,4,0|2,1|1,2|1,,,03.04. 22:00,0,1,2,2,1,1
Buffalo Sabres,Florida Panthers,3,5,1|0,0|3,2|2,,,03.04. 19:00,1,0,2,0,3,2
Ottawa Senators,Detroit Red Wings,5,2,1|1,2|0,2|1,,,03.04. 19:00,1,2,2,1,0,1
San Jose Sharks,Dallas Stars,4,5,1|4,1|0,2|1,,,03.04. 04:30,1,1,2,4,0,1
Calgary Flames,St. Louis Blues,4,6,2|2,0|1,2|3,,,03.04. 04:00,2,0,2,2,1,3
Boston Bruins,Columbus Blue Jackets,5,2,1|1,1|1,3|0,,,03.04. 01:00,1,1,3,1,1,0
Carolina Hurricanes,Minnesota Wild,1,3,0|1,0|1,1|1,,,03.04. 01:00,0,0,1,1,1,1
Philadelphia Flyers,Toronto Maple Leafs,3,6,0|0,2|2,1|4,,,03.04. 01:00,0,2,1,0,2,4
Tampa Bay Lightning,Montreal Canadiens,4,5,2|0,2|3,0|1,0|0,0|1,03.04. 01:00Po náj.,2,2,0,0,3,1
Winnipeg Jets,Los Angeles Kings,2,3,1|2,1|1,0|0,,,03.04. 01:00,1,1,0,2,1,0
Colorado Avalanche,Pittsburgh Penguins,3,2,0|0,2|1,1|1,,,02.04. 21:00,0,2,1,0,1,1
New Jersey Devils,Florida Panthers,6,7,2|1,4|1,0|4,0|1,,02.04. 18:30Po prodl.,2,4,0,1,1,4
Arizona Coyotes,Anaheim Ducks,0,5,0|3,0|1,0|1,,,02.04. 04:30,0,0,0,3,1,1
Seattle Kraken,Vegas Golden Knights,2,5,0|1,0|2,2|2,,,02.04. 04:00,0,0,2,1,2,2
